,question,question_id,question_type,answer
4,What should I do if I forget a dose of Nitroglycerin Spray ?,0000873-6,forget a dose,
5,What are the side effects or risks of Nitroglycerin Spray ?,0000873-7,side effects,
6,What should I know about storage and disposal of Nitroglycerin Spray ?,0000873-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitroglycerin Spray ?,0000873-9,emergency or overdose,
8,What other information should I know about Nitroglycerin Spray ?,0000873-10,other information,
9,What are the brand names of Nitroglycerin Spray ?,0000873-11,brand names,
0,Who should get Nitroglycerin Sublingual and why is it prescribed ?,0000874-1,indication,
1,How should Nitroglycerin Sublingual be used and what is the dosage ?,0000874-2,usage,
2,Are there safety concerns or special precautions about Nitroglycerin Sublingual ?,0000874-4,precautions,
3,What special dietary instructions should I follow with Nitroglycerin Sublingual ?,0000874-5,dietary,
4,What should I do if I forget a dose of Nitroglycerin Sublingual ?,0000874-6,forget a dose,
5,What are the side effects or risks of Nitroglycerin Sublingual ?,0000874-7,side effects,
6,What should I know about storage and disposal of Nitroglycerin Sublingual ?,0000874-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitroglycerin Sublingual ?,0000874-9,emergency or overdose,
8,What other information should I know about Nitroglycerin Sublingual ?,0000874-10,other information,
9,What are the brand names of Nitroglycerin Sublingual ?,0000874-11,brand names,
0,Who should get Nitroglycerin Topical and why is it prescribed ?,0000875-1,indication,
1,How should Nitroglycerin Topical be used and what is the dosage ?,0000875-2,usage,
2,Are there safety concerns or special precautions about Nitroglycerin Topical ?,0000875-4,precautions,
3,What special dietary instructions should I follow with Nitroglycerin Topical ?,0000875-5,dietary,
4,What should I do if I forget a dose of Nitroglycerin Topical ?,0000875-6,forget a dose,
5,What are the side effects or risks of Nitroglycerin Topical ?,0000875-7,side effects,
6,What should I know about storage and disposal of Nitroglycerin Topical ?,0000875-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitroglycerin Topical ?,0000875-9,emergency or overdose,
8,What other information should I know about Nitroglycerin Topical ?,0000875-10,other information,
9,What are the brand names of Nitroglycerin Topical ?,0000875-11,brand names,
0,Who should get Nitroglycerin Transdermal Patch and why is it prescribed ?,0000876-1,indication,
1,How should Nitroglycerin Transdermal Patch be used and what is the dosage ?,0000876-2,usage,
2,Are there safety concerns or special precautions about Nitroglycerin Transdermal Patch ?,0000876-4,precautions,
3,What special dietary instructions should I follow with Nitroglycerin Transdermal Patch ?,0000876-5,dietary,
4,What should I do if I forget a dose of Nitroglycerin Transdermal Patch ?,0000876-6,forget a dose,
5,What are the side effects or risks of Nitroglycerin Transdermal Patch ?,0000876-7,side effects,
6,What should I know about storage and disposal of Nitroglycerin Transdermal Patch ?,0000876-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitroglycerin Transdermal Patch ?,0000876-9,emergency or overdose,
8,What other information should I know about Nitroglycerin Transdermal Patch ?,0000876-10,other information,
9,What are the brand names of Nitroglycerin Transdermal Patch ?,0000876-11,brand names,
0,Who should get Nivolumab Injection and why is it prescribed ?,0000877-1,indication,
1,How should Nivolumab Injection be used and what is the dosage ?,0000877-2,usage,
2,Are there safety concerns or special precautions about Nivolumab Injection ?,0000877-4,precautions,
3,What special dietary instructions should I follow with Nivolumab Injection ?,0000877-5,dietary,
4,What should I do if I forget a dose of Nivolumab Injection ?,0000877-6,forget a dose,
5,What are the side effects or risks of Nivolumab Injection ?,0000877-7,side effects,
6,What other information should I know about Nivolumab Injection ?,0000877-8,other information,
7,What are the brand names of Nivolumab Injection ?,0000877-9,brand names,
0,Who should get Nizatidine and why is it prescribed ?,0000878-1,indication,
1,How should Nizatidine be used and what is the dosage ?,0000878-2,usage,
2,Are there safety concerns or special precautions about Nizatidine ?,0000878-3,precautions,
3,What should I do if I forget a dose of Nizatidine ?,0000878-4,forget a dose,
4,What are the side effects or risks of Nizatidine ?,0000878-5,side effects,
5,What should I know about storage and disposal of Nizatidine ?,0000878-6,storage and disposal,
6,What to do in case of emergency or overdose of Nizatidine ?,0000878-7,emergency or overdose,
7,What other information should I know about Nizatidine ?,0000878-8,other information,
8,What are the brand names of Nizatidine ?,0000878-9,brand names,
0,Who should get Norethindrone and why is it prescribed ?,0000879-1,indication,
1,How should Norethindrone be used and what is the dosage ?,0000879-2,usage,
2,Are there safety concerns or special precautions about Norethindrone ?,0000879-4,precautions,
3,What special dietary instructions should I follow with Norethindrone ?,0000879-5,dietary,
4,What should I do if I forget a dose of Norethindrone ?,0000879-6,forget a dose,
5,What are the side effects or risks of Norethindrone ?,0000879-7,side effects,
6,What should I know about storage and disposal of Norethindrone ?,0000879-8,storage and disposal,
7,What to do in case of emergency or overdose of Norethindrone ?,0000879-9,emergency or overdose,
8,What other information should I know about Norethindrone ?,0000879-10,other information,
9,What are the brand names of Norethindrone ?,0000879-11,brand names,
0,What important warning or information should I know about Norfloxacin ?,0000880-1,important warning,
1,Who should get Norfloxacin and why is it prescribed ?,0000880-2,indication,
2,How should Norfloxacin be used and what is the dosage ?,0000880-3,usage,
3,Are there safety concerns or special precautions about Norfloxacin ?,0000880-5,precautions,
4,What special dietary instructions should I follow with Norfloxacin ?,0000880-6,dietary,
5,What should I do if I forget a dose of Norfloxacin ?,0000880-7,forget a dose,
6,What are the side effects or risks of Norfloxacin ?,0000880-8,side effects,
7,What should I know about storage and disposal of Norfloxacin ?,0000880-9,storage and disposal,
8,What to do in case of emergency or overdose of Norfloxacin ?,0000880-10,emergency or overdose,
9,What other information should I know about Norfloxacin ?,0000880-11,other information,
10,What are the brand names of Norfloxacin ?,0000880-12,brand names,
0,What important warning or information should I know about Nortriptyline ?,0000881-1,important warning,
1,Who should get Nortriptyline and why is it prescribed ?,0000881-2,indication,
2,How should Nortriptyline be used and what is the dosage ?,0000881-3,usage,
3,Are there safety concerns or special precautions about Nortriptyline ?,0000881-5,precautions,
4,What special dietary instructions should I follow with Nortriptyline ?,0000881-6,dietary,
5,What should I do if I forget a dose of Nortriptyline ?,0000881-7,forget a dose,
6,What are the side effects or risks of Nortriptyline ?,0000881-8,side effects,
7,What should I know about storage and disposal of Nortriptyline ?,0000881-9,storage and disposal,
8,What to do in case of emergency or overdose of Nortriptyline ?,0000881-10,emergency or overdose,
9,What other information should I know about Nortriptyline ?,0000881-11,other information,
10,What are the brand names of Nortriptyline ?,0000881-12,brand names,
0,Who should get Nystatin and why is it prescribed ?,0000882-1,indication,
1,How should Nystatin be used and what is the dosage ?,0000882-2,usage,
2,Are there safety concerns or special precautions about Nystatin ?,0000882-3,precautions,
3,What should I do if I forget a dose of Nystatin ?,0000882-4,forget a dose,
4,What are the side effects or risks of Nystatin ?,0000882-5,side effects,
5,What should I know about storage and disposal of Nystatin ?,0000882-6,storage and disposal,
6,What other information should I know about Nystatin ?,0000882-7,other information,
7,What are the brand names of Nystatin ?,0000882-8,brand names,
8,What are the brand names of combination products of Nystatin ?,0000882-9,brand names of combination products,
0,Who should get Nystatin and Triamcinolone and why is it prescribed ?,0000883-1,indication,
1,How should Nystatin and Triamcinolone be used and what is the dosage ?,0000883-2,usage,
2,Are there safety concerns or special precautions about Nystatin and Triamcinolone ?,0000883-3,precautions,
3,What should I do if I forget a dose of Nystatin and Triamcinolone ?,0000883-4,forget a dose,
4,What are the side effects or risks of Nystatin and Triamcinolone ?,0000883-5,side effects,
5,What should I know about storage and disposal of Nystatin and Triamcinolone ?,0000883-6,storage and disposal,
6,What other information should I know about Nystatin and Triamcinolone ?,0000883-7,other information,
7,What are the brand names of combination products of Nystatin and Triamcinolone ?,0000883-8,brand names of combination products,
0,What important warning or information should I know about Obinutuzumab Injection ?,0000884-1,important warning,
1,Who should get Obinutuzumab Injection and why is it prescribed ?,0000884-2,indication,
2,How should Obinutuzumab Injection be used and what is the dosage ?,0000884-3,usage,
3,Are there safety concerns or special precautions about Obinutuzumab Injection ?,0000884-5,precautions,
4,What special dietary instructions should I follow with Obinutuzumab Injection ?,0000884-6,dietary,
5,What should I do if I forget a dose of Obinutuzumab Injection ?,0000884-7,forget a dose,
6,What are the side effects or risks of Obinutuzumab Injection ?,0000884-8,side effects,
7,What to do in case of emergency or overdose of Obinutuzumab Injection ?,0000884-9,emergency or overdose,
8,What other information should I know about Obinutuzumab Injection ?,0000884-10,other information,
9,What are the brand names of Obinutuzumab Injection ?,0000884-11,brand names,
0,Who should get Octreotide Injection and why is it prescribed ?,0000885-1,indication,
1,How should Octreotide Injection be used and what is the dosage ?,0000885-2,usage,
2,Are there safety concerns or special precautions about Octreotide Injection ?,0000885-4,precautions,
